timestamp,duration,protocol,service,flag,src_bytes,dst_bytes,count,srv_count,dst_host_count,dst_host_srv_count,src_ip,dst_ip,src_port,dst_port,label
2025-08-26 19:55:15.753234,0.14078042699305773,6,dns,SF,209.8737309558324,132.70944462502416,7,4,7,12,192.168.1.33,10.0.0.5,11639,21,Normal
2025-08-26 19:55:25.753234,0.9030364292752563,6,https,SH,12.2699170316165,1293.6938494588612,7,5,11,3,203.0.113.30,192.168.1.15,64855,443,Normal
2025-08-26 19:55:27.753234,0.3950237080636348,6,ssh,SF,734.8910228620391,42.13393278839434,15,5,10,7,192.168.1.14,10.0.0.16,16800,53,Normal
2025-08-26 19:55:28.753234,0.27388276613278595,6,smtp,SF,18068.57832599434,54.17543367114304,40,2,4,3,192.168.1.38,10.0.0.18,4552,68,DDoS
2025-08-26 19:55:40.753234,0.050887461138703884,6,smtp,SF,128.41392846958118,414.51909992306474,3,3,10,9,192.168.1.47,10.0.0.15,54528,443,Normal
2025-08-26 19:55:56.753234,0.050878887574381554,17,dhcp,SF,70.80649041743894,718.1426556207924,5,3,9,6,192.168.1.6,10.0.0.11,29334,67,Normal
2025-08-26 19:56:14.753234,0.0179516305826042,6,ftp,SF,574.4630386413543,60.13366784647921,6,2,4,1,203.0.113.55,192.168.1.45,48996,80,Normal
2025-08-26 19:56:17.753234,0.6033692593439818,6,dns,SF,4.160146560809729,238.61297043509933,10,1,11,6,192.168.1.29,10.0.0.15,51280,25,Normal
2025-08-26 19:56:31.753234,0.27572464608817937,17,http,SF,6669.21136760446,982.7954482913196,2,6,15,2,203.0.113.4,192.168.1.24,22934,22,Normal
2025-08-26 19:56:32.753234,0.36937501851137705,17,ftp,SF,111.65249675327551,280.64099117739477,5,2,6,3,192.168.1.9,10.0.0.10,52238,67,Normal
2025-08-26 19:56:37.753234,0.006239792399741586,17,dhcp,S0,11.025662358672417,61.541187637263235,7,4,9,7,203.0.113.2,192.168.1.32,64664,443,Normal
2025-08-26 19:56:53.753234,1.0510672425474936,17,http,SF,0.7726553519359541,273.96533091145994,5,4,10,7,203.0.113.46,192.168.1.22,39130,25,Normal
2025-08-26 19:56:56.753234,0.5359288630064025,1,dns,SF,106.00316091949537,548.0188028802776,4,3,8,5,192.168.1.28,10.0.0.13,59260,25,Normal
2025-08-26 19:57:14.753234,0.0716062875746841,6,ftp,RSTO,235.2014783916154,175.39481806656832,4,2,15,2,192.168.1.45,10.0.0.18,18025,68,Normal
2025-08-26 19:57:25.753234,0.06020369662489901,6,ftp,SF,273.33268647181285,435.45320459444656,5,3,5,5,192.168.1.38,10.0.0.1,45151,443,Normal
2025-08-26 19:57:33.753234,0.060783426849677115,6,smtp,SF,8.160049986754021,1010.5379312459546,6,2,9,6,192.168.1.3,10.0.0.5,55453,67,Normal
2025-08-26 19:57:40.753234,0.10882611883814314,6,http,S3,12.682261766109857,345.0230504542523,7,4,11,2,192.168.1.22,10.0.0.19,2750,53,Normal
2025-08-26 19:57:50.753234,0.22317834925825633,6,https,SF,2235.522658412912,841.209654387345,3,5,12,9,192.168.1.39,10.0.0.19,2777,80,Normal
2025-08-26 19:58:01.753234,0.169661120034101,6,https,SF,6.651636420042626,107.82114217162881,8,3,13,4,203.0.113.49,192.168.1.14,16416,25,Normal
2025-08-26 19:58:14.753234,0.10326689776618245,6,ftp,S0,185.41951158417572,57.19234150437248,13,4,10,9,203.0.113.9,192.168.1.35,54372,25,Normal
2025-08-26 19:58:28.753234,0.2839112621699396,6,dns,RSTO,68.68091526736896,2554.5425367123576,7,2,15,4,192.168.1.31,10.0.0.4,61826,443,Normal
2025-08-26 19:58:30.753234,0.0450703586182016,6,ftp,RSTR,50.81325304314815,1.696156012528974,3,4,5,5,192.168.1.29,10.0.0.10,35925,53,Normal
2025-08-26 19:58:44.753234,0.10365465360072068,1,dhcp,SF,85.80073660313941,346.6323130335366,5,2,9,5,192.168.1.7,10.0.0.18,7284,22,Normal
2025-08-26 19:58:58.753234,0.13688316546625412,6,smtp,REJ,50.44173530295947,81.31571965413312,3,2,9,4,192.168.1.45,10.0.0.16,34410,67,Normal
2025-08-26 19:59:19.753234,0.1826804063579325,17,dhcp,REJ,47.18758194677596,584.9667612897499,4,7,10,2,192.168.1.13,10.0.0.3,53529,25,Normal
2025-08-26 19:59:31.753234,0.46138080330927356,6,http,SF,1093.7251013067155,13.997125280481505,8,3,9,4,203.0.113.50,192.168.1.19,2250,25,Normal
2025-08-26 19:59:36.753234,0.06682075863860708,1,dhcp,SF,66.18177801744878,309.01663822797394,7,3,10,4,192.168.1.19,10.0.0.17,16979,53,Normal
2025-08-26 19:59:45.753234,0.2166087465099383,17,ftp,REJ,12.97120079525205,486.0776562903907,5,2,10,2,192.168.1.4,10.0.0.12,47225,22,Normal
2025-08-26 19:59:50.753234,0.26925141639292816,6,dhcp,SF,125.49135885741356,331.79176227873705,4,5,10,5,192.168.1.11,10.0.0.11,28384,67,Normal
2025-08-26 20:00:23.753234,0.014269154926922562,6,dns,SF,17.856407731176798,26.081396609408863,5,2,11,6,203.0.113.53,192.168.1.26,20543,25,Normal
2025-08-26 20:00:27.753234,0.280599906194883,6,https,SF,16.871986324180302,44.761439981002624,9,3,9,0,192.168.1.8,10.0.0.5,36881,53,Normal
2025-08-26 20:00:39.753234,0.05608837559322492,1,http,SF,2725.73784257597,605.7635338566132,0,4,9,2,192.168.1.31,10.0.0.3,63403,25,Normal
2025-08-26 20:00:39.753234,0.020179179263791272,17,ftp,SF,102.88857652726338,120.30468928660757,6,3,13,3,192.168.1.14,10.0.0.5,25418,443,Normal
2025-08-26 20:00:53.753234,0.8921063380520792,17,http,SF,11.532250147979596,2.746629564069517,5,1,11,5,203.0.113.40,192.168.1.28,47899,443,Normal
2025-08-26 20:01:01.753234,1.0111891027383517,6,smtp,SF,120.79789086576105,57.5155802427787,4,3,6,8,203.0.113.86,192.168.1.31,7097,21,Normal
2025-08-26 20:01:14.753234,0.495699471843863,6,dhcp,S1,168.61794401450848,1589.899455607795,6,4,8,7,192.168.1.37,10.0.0.10,45425,68,Normal
2025-08-26 20:01:38.753234,0.10898635799062749,17,https,SF,98.08694466884836,111.17318323674445,6,4,5,3,192.168.1.33,10.0.0.15,3477,80,Normal
2025-08-26 20:01:46.753234,0.030833194500751872,6,dns,SF,55.87191605650205,10.61722501258298,6,4,13,3,192.168.1.1,10.0.0.5,61166,25,Normal
2025-08-26 20:02:08.753234,0.3458252289295985,6,http,S3,9.257796169960477,72.8128057939003,3,1,9,5,192.168.1.26,10.0.0.8,3942,68,Normal
2025-08-26 20:02:16.753234,0.1740272527756195,6,https,SH,64.63320845160918,143.36630116146304,2,3,8,5,192.168.1.37,10.0.0.16,9477,67,Normal
2025-08-26 20:02:38.753234,0.03904567018633459,1,dhcp,SF,30.327376643022898,33.193039898174916,6,4,12,7,192.168.1.37,10.0.0.2,5462,22,Normal
2025-08-26 20:02:46.753234,0.20506416844024503,6,ftp,SF,116.27721224484067,2199.1476837629043,4,1,4,2,192.168.1.19,10.0.0.15,33844,80,Normal
2025-08-26 20:02:47.753234,0.010498116433043726,6,dns,SF,345.6178310297434,81.61013525546953,2,2,11,4,192.168.1.46,10.0.0.10,11055,21,Normal
2025-08-26 20:03:07.753234,0.7201268662179071,6,dns,S1,4928.7183719364475,94.98717316721073,4,3,10,5,192.168.1.12,10.0.0.14,20983,21,Normal
2025-08-26 20:03:08.753234,0.08983733305220583,17,ssh,SF,698.9935364222099,109.37800369188368,5,15,7,4,192.168.1.40,10.0.0.14,5991,18082,PortScan
2025-08-26 20:03:23.753234,0.3258767395694941,6,http,SF,0.6508969335510574,4.019600896863538,7,4,9,8,192.168.1.43,10.0.0.6,47320,21,Normal
2025-08-26 20:04:01.753234,0.1120639744972871,6,https,RSTR,231.54167081809018,315.6289017027152,4,4,4,7,192.168.1.7,10.0.0.13,17593,67,Normal
2025-08-26 20:04:03.753234,0.22023326877276858,6,http,SF,3076.4738982504914,45.52646779971024,6,4,11,6,192.168.1.3,10.0.0.8,2579,53,Normal
2025-08-26 20:04:03.753234,0.23736713939453924,17,ftp,REJ,111.61726673934507,1.1276372160534731,4,2,8,7,203.0.113.21,192.168.1.18,36673,22,Normal
2025-08-26 20:04:23.753234,0.061316579852371725,1,ftp,S0,3331.473283086798,7.401730962594299,2,5,4,3,203.0.113.69,192.168.1.19,6741,25,Normal
2025-08-26 20:04:25.753234,1.047842139820868,17,dhcp,SF,16.292274521396653,133.82043890945263,3,2,12,6,192.168.1.5,10.0.0.7,30367,22,Normal
2025-08-26 20:04:30.753234,0.4476736131414422,6,dns,SF,25.661371561931574,1736.7081820092926,2,1,10,5,203.0.113.53,192.168.1.49,4008,68,Normal
2025-08-26 20:04:31.753234,0.8415283257874747,1,dns,SF,105.84424192383638,624.0096827573018,4,1,9,5,192.168.1.24,10.0.0.3,9852,67,Normal
2025-08-26 20:04:46.753234,0.6756455992602589,6,https,REJ,110.78672658520806,450.64236546456146,4,7,10,11,192.168.1.33,10.0.0.11,34958,80,Normal
2025-08-26 20:05:02.753234,0.2733163237149825,6,smtp,RSTR,791.0990788184054,181.93152300008214,5,4,12,5,192.168.1.11,10.0.0.9,18180,68,Normal
2025-08-26 20:05:12.753234,0.7648306137808215,6,http,RSTO,148.98989258358358,318.8875073228633,5,2,6,10,192.168.1.3,10.0.0.15,64758,25,Normal
2025-08-26 20:05:14.753234,0.027796637685934687,6,http,SF,119.35301547186842,180.691365706641,4,2,13,9,192.168.1.41,10.0.0.15,28723,443,Normal
2025-08-26 20:05:20.753234,0.06544040838938023,17,ftp,S0,21006.048624802625,34.03117599653491,4,4,9,6,192.168.1.48,10.0.0.13,5131,25,Normal
2025-08-26 20:05:36.753234,0.013884589706049586,6,http,SF,31.337512182221065,36.698072384125624,5,3,5,2,203.0.113.51,192.168.1.3,28851,67,Normal
2025-08-26 20:06:02.753234,0.11805962604092604,6,https,SF,1953.3957932095072,152.9443043373348,4,2,11,7,192.168.1.8,10.0.0.5,42600,25,Normal
2025-08-26 20:06:08.753234,0.14763908753826557,6,ssh,SF,340.77316454779793,32.228328629806256,3,2,11,2,192.168.1.48,10.0.0.15,37078,25,Normal
2025-08-26 20:06:19.753234,0.09496813296264771,6,dns,REJ,71.30087607455852,5.112804769422085,2,8,5,3,192.168.1.5,10.0.0.3,31864,80,Normal
2025-08-26 20:06:22.753234,0.5293673595722802,6,ftp,S0,249.04552179580492,492.709594872607,1,2,12,1,192.168.1.16,10.0.0.15,35951,22,Normal
2025-08-26 20:06:23.753234,0.13236809985896103,6,dns,SF,28.931563995619182,356.70692077459006,2,0,11,2,192.168.1.18,10.0.0.6,30227,67,Normal
2025-08-26 20:06:26.753234,0.09894085204027477,6,dns,SH,176.35120109824973,4.895011941847846,6,2,12,4,192.168.1.2,10.0.0.4,43067,443,Normal
